Name,BSE Code,NSE Code,Industry Group,Industry
Gallard Steel,544616,,Auto Components,Auto Components & Equipments
Competent Auto,531041,,Automobiles,Auto Dealer
Aegis Logistics,500003,AEGISLOG,Gas,Trading - Gas
Pattech Fitwell,,PATTECH,Industrial Products,Castings & Forgings
Chembond Chemic.,544450,CHEMBONDCH,Chemicals & Petrochemicals,Specialty Chemicals
Anand Rathi Shar,544530,ARSSBL,Capital Markets,Stockbroking & Allied
Maithan Alloys,590078,MAITHANALL,Ferrous Metals,Ferro & Silica Manganese
Kanungo Financi.,540515,,Finance,Other Financial Services
LTIMindtree,540005,LTM,IT - Software,Computers - Software & Consulting
NGL Fine Chem,524774,NGLFINE,Pharmaceuticals & Biotechnology,Pharmaceuticals
Betex India,512477,,Textiles & Apparels,Other Textile Products
Graphite India,509488,GRAPHITE,Industrial Products,Electrodes & Refractories
SKM Egg Prod.,532143,SKMEGGPROD,Food Products,Meat Products including Poultry
Gowra Leasing,530709,,Finance,Non Banking Financial Company (NBFC)
Team24 Consumer,500458,,Food Products,Other Food Products
ITC Hotels,544325,ITCHOTELS,Leisure Services,Hotels & Resorts
Mizzen Ventures,531537,,Commercial Services & Supplies,Diversified Commercial Services
Viyash Scientific,512529,VIYASH,Pharmaceuticals & Biotechnology,Pharmaceuticals
Chennai Meena,523489,,Healthcare Services,Healthcare Service Provider
Shri Vasuprada,538092,,Agricultural Food & other Products,Tea & Coffee
Ratnamani Metals,520111,RATNAMANI,Industrial Products,Iron & Steel Products
Surana Telecom,517530,SURANAT&P,Power,Power Generation
Bharat Dynamics,541143,BDL,Aerospace & Defense,Aerospace & Defense
Swasti Vin. Art,512257,,Diversified,Diversified
PAN HR Solution,544698,,Commercial Services & Supplies,Diversified Commercial Services
Vidhi Specialty,531717,VIDHIING,Chemicals & Petrochemicals,Specialty Chemicals
CHL,532992,,Leisure Services,Hotels & Resorts
N G Industries,530897,,Healthcare Services,Healthcare Service Provider
Thermax,500411,THERMAX,Electrical Equipment,Heavy Electrical Equipment
Sir Shadi Lal,532879,,Agricultural Food & other Products,Sugar
Mahaveer Infoway,539383,,IT - Software,Computers - Software & Consulting
PDP Shipping,544378,,Transport Services,Logistics Solution Provider
Axel Polymers,513642,,Industrial Products,Plastic Products - Industrial
POCL Enterprises,539195,,Chemicals & Petrochemicals,Commodity Chemicals
Faze Three,530079,FAZE3Q,Textiles & Apparels,Other Textile Products
Havells India,517354,HAVELLS,Consumer Durables,Consumer Electronics
Aluwind Infra,,ALUWIND,Industrial Products,"Aluminium, Copper & Zinc Products"
Indian Toners,523586,,Chemicals & Petrochemicals,Specialty Chemicals
Labelkraft Tech.,543830,,"Paper, Forest & Jute Products",Paper & Paper Products
Essex Marine,544475,,Food Products,Seafood
Roni Households,542145,,Commercial Services & Supplies,Trading & Distributors
Dec.Gold Mines,512068,,Non - Ferrous Metals,Precious Metals
Nazara Technolo.,543280,NAZARA,Entertainment,Digital Entertainment
Hindustan Hardy,505893,,Auto Components,Auto Components & Equipments
Golech.Glob.Fin.,531360,,Commercial Services & Supplies,Diversified Commercial Services
Umiya Buildcon,532376,UMIYA-MRO,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories
AYM Syntex,508933,AYMSYNTEX,Textiles & Apparels,Other Textile Products
GPT Healthcare,544131,GPTHEALTH,Healthcare Services,Hospital
E Factor Experie,,EFACTOR,Other Consumer Services,Other Consumer Services
Ginni Filaments,590025,GINNIFILA,Textiles & Apparels,Other Textile Products
Bharat Parenter.,541096,,Pharmaceuticals & Biotechnology,Pharmaceuticals
Yash Trad.& Fin.,512345,,Finance,Other Financial Services
Aegis Vopak Term,544407,AEGISVOPAK,Oil,Oil Storage & Transportation
Ruby Mills,503169,RUBYMILLS,Textiles & Apparels,Other Textile Products
Supreme Inds.,509930,SUPREMEIND,Industrial Products,Plastic Products - Industrial
Jay Bharat Maru.,520066,JAYBARMARU,Auto Components,Auto Components & Equipments
Lakshmi Engg.,505302,,Industrial Manufacturing,Industrial Products
Prestige Estates,533274,PRESTIGE,Realty,"Residential, Commercial Projects"
Valplast Technol,544565,,Construction,Civil Construction
Elantas Beck,500123,,Chemicals & Petrochemicals,Specialty Chemicals
James Warren Tea,538564,,Agricultural Food & other Products,Tea & Coffee
Rishi Laser,526861,,Industrial Manufacturing,Industrial Products
L&T Technology,540115,LTTS,IT - Services,IT Enabled Services
Innova Captab,544067,INNOVACAP,Pharmaceuticals & Biotechnology,Pharmaceuticals
Shri Krishna,531080,,Realty,"Residential, Commercial Projects"
Mallcom (India),539400,MALLCOM,Industrial Products,Other Industrial Products
Anuh Pharma,506260,ANUHPHR,Pharmaceuticals & Biotechnology,Pharmaceuticals
Honasa Consumer,544014,HONASA,Personal Products,Personal Care
Kilitch Drugs,524500,KILITCH,Pharmaceuticals & Biotechnology,Pharmaceuticals
Deepak Fertilis.,500645,DEEPAKFERT,Chemicals & Petrochemicals,Commodity Chemicals
Alan Scott Ente.,539115,,Entertainment,"Film Production, Distribution & Exhibition"
Mahip Industries,542503,,Industrial Products,Packaging
Poona Dal & Oil,519359,,Agricultural Food & other Products,Edible Oil
IRB Infra.Devl.,532947,IRB,Construction,Civil Construction
Brandman Retail,,BRANDMAN,Consumer Durables,Footwear
Guj Pipavav Port,533248,GPPL,Transport Infrastructure,Port & Port services
V-Guard Industri,532953,VGUARD,Consumer Durables,Household Appliances
Tips Music,532375,TIPSMUSIC,Entertainment,Media & Entertainment
Chandni Machines,542627,,Commercial Services & Supplies,Trading & Distributors
W I Plywoods,,WIPL,Consumer Durables,Plywood Boards/ Laminates
Infollion Resea.,,INFOLLION,Commercial Services & Supplies,Diversified Commercial Services
VJTF Eduservices,509026,,Other Consumer Services,Education
Tara Chand Infra,,TARACHAND,Commercial Services & Supplies,Diversified Commercial Services
Spectrum Electr.,544386,SPECTRUM,Industrial Manufacturing,Industrial Products
Ekansh Concept,531364,,Commercial Services & Supplies,Consulting Services
Eveready Inds.,531508,EVEREADY,Household Products,Household Products
K. V. Toys India,544641,,Consumer Durables,Leisure Products
Panacea Biotec,531349,PANACEABIO,Pharmaceuticals & Biotechnology,Pharmaceuticals
Envirotech Sys.,,ENVIRO,Industrial Products,Other Industrial Products
Sonam,,SONAMLTD,Consumer Durables,Consumer Electronics
OCCL,544278,OCCLLTD,Chemicals & Petrochemicals,Commodity Chemicals
Prevest Denpro,543363,,Healthcare Equipment & Supplies,Medical Equipment & Supplies
Apollo Micro Sys,540879,APOLLO,Aerospace & Defense,Aerospace & Defense
M M Forgings,522241,MMFL,Auto Components,Auto Components & Equipments
HEG,509631,HEG,Industrial Products,Electrodes & Refractories
T N Petro Prod.,500777,TNPETRO,Chemicals & Petrochemicals,Petrochemicals
Oxford Industrie,514414,,Textiles & Apparels,Other Textile Products
Mercury Labs,538964,,Pharmaceuticals & Biotechnology,Pharmaceuticals
F Mec Intl. Fin.,539552,,Finance,Non Banking Financial Company (NBFC)
NINtec Systems,539843,NINSYS,IT - Software,Computers - Software & Consulting
Fabtech Tech.,544558,FABTECH,Healthcare Services,"Healthcare Research, Analytics & Technology"
Fabtech Techn.,544332,,Industrial Manufacturing,Industrial Products
PNGS Gargi FJ,543709,,Consumer Durables,"Gems, Jewellery And Watches"
iStreet Network,524622,,IT - Services,IT Enabled Services
Laxmipati Engg,537669,,Industrial Manufacturing,Ship Building & Allied Services
Italian Edibles,,ITALIANE,Food Products,Packaged Foods
Subros,517168,SUBROS,Industrial Products,Other Industrial Products
Zensar Tech.,504067,ZENSARTECH,IT - Software,Computers - Software & Consulting
Suraksha Diagno.,544293,SURAKSHA,Healthcare Services,Healthcare Service Provider
Physicswallah,544609,PWL,Other Consumer Services,E-Learning
Banswara Syntex,503722,BANSWRAS,Textiles & Apparels,Other Textile Products
Pyramid Technopl,543969,PYRAMID,Industrial Products,Packaging
Suba Hotels,,SUBAHOTELS,Leisure Services,Hotels & Resorts
PNB Housing,540173,PNBHOUSING,Finance,Housing Finance Company
GTV Engineering,539479,,Industrial Manufacturing,Industrial Products
Polychem,506605,,Chemicals & Petrochemicals,Commodity Chemicals
Finbud Financial,,FINBUD,Financial Technology (Fintech),Financial Technology (Fintech)
Indokem,504092,,Chemicals & Petrochemicals,Specialty Chemicals
Ausom Enter.,509009,AUSOMENT,Consumer Durables,"Gems, Jewellery And Watches"
KFin Technolog.,543720,KFINTECH,Capital Markets,"Depositories, Clearing Houses and Other Intermediaries"
Harsha Engg Intl,543600,HARSHA,Industrial Products,Other Industrial Products
Arvind Fashions.,542484,ARVINDFASN,Retailing,Speciality Retail
Integra Switch,517423,,Electrical Equipment,Other Electrical Equipment
InfoBeans Tech.,543644,INFOBEAN,IT - Software,Computers - Software & Consulting
Vinati Organics,524200,VINATIORGA,Chemicals & Petrochemicals,Specialty Chemicals
Sunil Industries,521232,,Commercial Services & Supplies,Trading & Distributors
Kiran Vyapar,537750,,Finance,Non Banking Financial Company (NBFC)
Dev Accele.,544513,DEVX,Commercial Services & Supplies,Diversified Commercial Services
Arman Financial,531179,ARMANFIN,Finance,Non Banking Financial Company (NBFC)
Kinetic Engg.,500240,,Auto Components,Auto Components & Equipments
Jumbo Bag,516078,,Industrial Products,Packaging
Retina Paints,543902,,Consumer Durables,Paints
Shri Techtex,,SHRITECH,Industrial Products,Plastic Products - Industrial
Aaradhya Dis.,,AARADHYA,"Paper, Forest & Jute Products",Paper & Paper Products
Anna Infrastruct,530799,,Finance,Non Banking Financial Company (NBFC)
Divgi Torq,543812,DIVGIITTS,Auto Components,Auto Components & Equipments
Captain Polyplas,536974,,Industrial Products,Plastic Products - Industrial
D-Link India,533146,DLINKINDIA,IT - Hardware,Computers Hardware & Equipments
Insecticid.India,532851,INSECTICID,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
Amco India,530133,,Industrial Products,"Aluminium, Copper & Zinc Products"
NILE,530129,,Minerals & Mining,Industrial Minerals
Miven Mach. Tool,522036,,Industrial Manufacturing,Industrial Products
Integrated Perso,,IPSL,Commercial Services & Supplies,Diversified Commercial Services
Zuari Industries,500780,ZUARIIND,Agricultural Food & other Products,Sugar
Creative Newtech,544631,CNL,Commercial Services & Supplies,Trading & Distributors
SBI Cards,543066,SBICARD,Finance,Non Banking Financial Company (NBFC)
Disa India,500068,,Industrial Manufacturing,Industrial Products
Hisar Met.Inds.,590018,HISARMETAL,Industrial Products,Iron & Steel Products
ISGEC Heavy,533033,ISGEC,Construction,Civil Construction
Baroda Extrusion,513502,,Industrial Products,"Aluminium, Copper & Zinc Products"
Atvo Enterprises,532090,,Textiles & Apparels,Other Textile Products
Hindprakash Indu,543645,HPIL,Chemicals & Petrochemicals,Dyes And Pigments
Indo Count Inds.,521016,ICIL,Textiles & Apparels,Other Textile Products
Advani Hotels.,523269,ADVANIHOTR,Leisure Services,Hotels & Resorts
Vamshi Rubber,530369,,Auto Components,Tyres & Rubber Products
Shivalik Bimetal,513097,SBCL,Industrial Products,Iron & Steel Products
Challani Capital,530747,,Finance,Non Banking Financial Company (NBFC)
Guj. Containers,513507,,Industrial Products,Packaging
Dhillon Freight,544556,,Transport Services,Logistics Solution Provider
Accelya Solution,532268,ACCELYA,IT - Software,Computers - Software & Consulting
Rajputana Indu.,,RAJINDLTD,Industrial Products,"Aluminium, Copper & Zinc Products"
Welspun Living,514162,WELSPUNLIV,Textiles & Apparels,Other Textile Products
Kanco Tea,541005,,Agricultural Food & other Products,Tea & Coffee
Nutech Global,531304,,Textiles & Apparels,Other Textile Products
Apoorva Leasing,539545,,Finance,Other Financial Services
Ace Soft. Exp.,531525,,IT - Software,Software Products
True Colors,544531,,Industrial Manufacturing,Industrial Products
Apollo Pipes,531761,APOLLOPIPE,Industrial Products,Plastic Products - Industrial
Tembo Global,,TEMBO,Industrial Products,Iron & Steel Products
Ras Resorts,507966,,Leisure Services,Hotels & Resorts
TBO Tek,544174,TBOTEK,Leisure Services,"Tour, Travel Related Services"
Austere Sys.,544505,,IT - Software,Computers - Software & Consulting
TCM,524156,,Chemicals & Petrochemicals,Commodity Chemicals
Repono,544463,,Oil,Oil Storage & Transportation
Sun TV Network,532733,SUNTV,Entertainment,TV Broadcasting & Software Production
Inter State Oil,530259,,Transport Services,Road Transport
Antelopus Selan,530075,ANTELOPUS,Oil,Oil Exploration & Production
Muthoot Microfin,544055,MUTHOOTMF,Finance,Microfinance Institutions
Woodsvilla,526959,,Leisure Services,Hotels & Resorts
Rajputana Bio.,,RAJPUTANA,Chemicals & Petrochemicals,Petrochemicals
Bluestone Jewel,544484,BLUESTONE,Consumer Durables,"Gems, Jewellery And Watches"
NDR Auto Compon.,543214,NDRAUTO,Auto Components,Auto Components & Equipments
Eiko Lifescience,540204,,Chemicals & Petrochemicals,Specialty Chemicals
BEML Ltd,500048,BEML,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles
Pine Labs,544606,PINELABS,Financial Technology (Fintech),Financial Technology (Fintech)
Mantra Capital,511577,,Finance,Non Banking Financial Company (NBFC)
Machino Plastics,523248,,Auto Components,Auto Components & Equipments
Swarna Securitie,531003,,Finance,Non Banking Financial Company (NBFC)
MPS,532440,MPSLTD,Other Consumer Services,E-Learning
Hind Aluminium,531979,,Non - Ferrous Metals,Aluminium
Astal Lab,512600,,Pharmaceuticals & Biotechnology,Pharmaceuticals
Jainam Ferro,,JAINAM,Ferrous Metals,Ferro & Silica Manganese
KIOCL,540680,KIOCL,Ferrous Metals,Sponge Iron
Info Edg.(India),532777,NAUKRI,Retailing,Internet & Catalogue Retail
EIH Assoc.Hotels,523127,EIHAHOTELS,Leisure Services,Hotels & Resorts
Clara Industries,543435,,Industrial Products,Packaging
Tankup Engi.,,TANKUP,Industrial Products,Other Industrial Products
Chamanlal Setia,530307,CLSEL,Agricultural Food & other Products,Other Agricultural Products
Bloom Industries,513422,,Industrial Products,Iron & Steel Products
Valson Industrie,530459,,Textiles & Apparels,Other Textile Products
Maiden Forgings,543874,,Industrial Products,Iron & Steel Products
Arabian Petrol.,,ARABIAN,Petroleum Products,Lubricants
Sanchay Finvest,511563,,Commercial Services & Supplies,Diversified Commercial Services
Patel Retail,544487,PATELRMART,Retailing,Diversified Retail
IST,508807,,Auto Components,Auto Components & Equipments
Modison,506261,MODISONLTD,Electrical Equipment,Other Electrical Equipment
ITL Industries,522183,,Industrial Manufacturing,Industrial Products
Kewal Kir.Cloth.,532732,KKCL,Textiles & Apparels,Garments & Apparels
TAC Infosec,,TAC,IT - Software,Computers - Software & Consulting
Samhi Hotels,543984,SAMHI,Leisure Services,Hotels & Resorts
Mishra Dhatu Nig,541195,MIDHANI,Aerospace & Defense,Aerospace & Defense
Marathon Nextgen,503101,MARATHON,Realty,"Residential, Commercial Projects"
Filmcity Media,531486,,Entertainment,"Film Production, Distribution & Exhibition"
Cash UR Drive,,CUDML,Media,Advertising & Media Agencies
Intl. Conveyors,509709,INTLCONV,Industrial Manufacturing,Industrial Products
Hilltone Softwar,544308,,Chemicals & Petrochemicals,Industrial Gases
Sh. Digvijay Cem,502180,SHREDIGCEM,Cement & Cement Products,Cement & Cement Products
Fidel Softech,,FIDEL,IT - Software,Computers - Software & Consulting
Effwa Infra,,EFFWA,Other Utilities,Waste Management
TCS,532540,TCS,IT - Software,Computers - Software & Consulting
3B Blackbio,532067,,Healthcare Services,Healthcare Service Provider
Rategain Travel,543417,RATEGAIN,IT - Software,Computers - Software & Consulting
Univastu India,,UNIVASTU,Construction,Civil Construction
Quest Laborato.,,QUESTLAB,Pharmaceuticals & Biotechnology,Pharmaceuticals
Kiran Print Pack,531413,,Printing & Publication,Printing & Publication
CRISIL,500092,CRISIL,Finance,Other Financial Services
Jindal Poly Film,500227,JINDALPOLY,Industrial Products,Packaging
Parshva Enterpr.,542694,,Commercial Services & Supplies,Trading & Distributors
Markolines Pavem,543364,MARKOLINES,Construction,Civil Construction
ADC India,523411,,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories
Hybrid Financial,500262,HYBRIDFIN,Capital Markets,Stockbroking & Allied
Sotac Pharma.,,SOTAC,Pharmaceuticals & Biotechnology,Pharmaceuticals
Indosolar,533257,WAAREEINDO,Electrical Equipment,Heavy Electrical Equipment
Ecoplast,526703,,Industrial Products,Plastic Products - Industrial
IBL Finance,,IBLFL,Finance,Non Banking Financial Company (NBFC)
Cords Cable,532941,CORDSCABLE,Industrial Products,Cables - Electricals
Mansi Fin.(Chen),511758,,Finance,Non Banking Financial Company (NBFC)
Mah. Seamless,500265,MAHSEAMLES,Industrial Products,Iron & Steel Products
Dhruva Cap.Serv.,531237,,Finance,Non Banking Financial Company (NBFC)
ASM Technologies,526433,,IT - Software,Computers - Software & Consulting
Sobha,532784,SOBHA,Realty,"Residential, Commercial Projects"
HEC Infra Proj.,,HECPROJECT,Construction,Civil Construction
Avadh Sugar,540649,AVADHSUGAR,Agricultural Food & other Products,Sugar
Captain Techno.,540652,,Industrial Manufacturing,Industrial Products
Ashapura Minech.,527001,ASHAPURMIN,Minerals & Mining,Industrial Minerals
Monarch Networth,511551,MONARCH,Capital Markets,Stockbroking & Allied
Manba Finance,544262,MANBA,Finance,Non Banking Financial Company (NBFC)
A B Lifestyle,544403,ABLBL,Retailing,Speciality Retail
VK Global,530177,,Commercial Services & Supplies,Trading & Distributors
Cont. Controls,531460,,Electrical Equipment,Other Electrical Equipment
Dar Credit & Cap,,DCCL,Finance,Non Banking Financial Company (NBFC)
Regency Fincorp,540175,,Finance,Other Financial Services
STL Networks,544395,STLNETWORK,Telecom - Services,Other Telecom Services
Pilani Invest.,539883,PILANIINVS,Finance,Holding Company
Safari Inds.,523025,SAFARI,Consumer Durables,Plastic Products - Consumer
Victoria Mills,503349,,Realty,"Residential, Commercial Projects"
S A I L,500113,SAIL,Ferrous Metals,Iron & Steel
Tube Investments,540762,TIINDIA,Auto Components,Auto Components & Equipments
Valencia Nutrit.,542910,,Beverages,Other Beverages
Crest Ventures,511413,CREST,Finance,Non Banking Financial Company (NBFC)
E to E Transportation,,E2ERAIL,Construction,Civil Construction
Oracle Fin.Serv.,532466,OFSS,IT - Software,Software Products
Innovassynth Technologies,533315,,Finance,Investment Company
Oval Projects,544498,,Construction,Civil Construction
Piccadily Agro,530305,PICCADIL,Beverages,Breweries & Distilleries
Tera Software,533982,TERASOFT,IT - Services,IT Enabled Services
Skipper,538562,SKIPPER,Electrical Equipment,Heavy Electrical Equipment
Pritika Engineer,,PRITIKA,Auto Components,Auto Components & Equipments
NMDC,526371,NMDC,Minerals & Mining,Industrial Minerals
Royal Orch.Hotel,532699,ROHLTD,Leisure Services,Hotels & Resorts
Aeroflex Neu,543743,AERONEU,Industrial Products,Packaging
Mamata Machinery,544318,MAMATA,Industrial Manufacturing,Industrial Products
Incap,517370,,Electrical Equipment,Other Electrical Equipment
Kolte Patil Dev.,532924,KOLTEPATIL,Realty,"Residential, Commercial Projects"
Rajesh Power,544291,,Other Utilities,Multi Utilities
Excelsoft Tech.,544617,EXCELSOFT,IT - Services,IT Enabled Services
Enterprise Intl.,526574,,Commercial Services & Supplies,Trading & Distributors
Alphalogic Indu,543937,,Industrial Products,Other Industrial Products
Indogulf Cropsci,544432,IGCL,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
Sagar Cements,502090,SAGCEM,Cement & Cement Products,Cement & Cement Products
NCL Industries,502168,NCLIND,Cement & Cement Products,Cement & Cement Products
Shakti Press,526841,,Printing & Publication,Printing & Publication
Wipro,507685,WIPRO,IT - Software,Computers - Software & Consulting
Aaron Industries,,AARON,Industrial Manufacturing,Industrial Products
Integ. Thermopl.,530921,,Industrial Products,Plastic Products - Industrial
Dalmia Industria,539900,,Commercial Services & Supplies,Trading & Distributors
Vinsys IT Serv.,,VINSYS,Other Consumer Services,Education
G G Automotive,531399,,Auto Components,Auto Components & Equipments
Sika Interplant,523606,,Aerospace & Defense,Aerospace & Defense
Guj. Themis Bio.,506879,GUJTHEM,Pharmaceuticals & Biotechnology,Pharmaceuticals
AastamangalamFin,511764,,Finance,Non Banking Financial Company (NBFC)
Manor Estates,526115,,Consumer Durables,"Gems, Jewellery And Watches"
Seshaasai Tech.,544533,STYL,Financial Technology (Fintech),Financial Technology (Fintech)
Lexoraa Ind,531944,,Industrial Manufacturing,Industrial Products
Infinium Pharma,,INFINIUM,Pharmaceuticals & Biotechnology,Pharmaceuticals
ANS Industries,531406,,Beverages,Other Beverages
Paragon Finance,531255,,Finance,Non Banking Financial Company (NBFC)
Genesis IBRC,514336,,Pharmaceuticals & Biotechnology,Biotechnology
Control Print,522295,CONTROLPR,IT - Hardware,Computers Hardware & Equipments
Bharat Gears,505688,BHARATGEAR,Auto Components,Auto Components & Equipments
H P Cotton Tex,502873,,Textiles & Apparels,Other Textile Products
Jash Engineering,544402,JASH,Industrial Manufacturing,Industrial Products
West Coast Paper,500444,WSTCSTPAPR,"Paper, Forest & Jute Products",Paper & Paper Products
BN Agrochem,526125,,Commercial Services & Supplies,Trading & Distributors
Gloster Ltd,542351,GLOSTERLTD,"Paper, Forest & Jute Products",Jute & Jute Products
Styrenix Perfor.,506222,STYRENIX,Chemicals & Petrochemicals,Specialty Chemicals
Elecon Engg.Co,505700,ELECON,Electrical Equipment,Heavy Electrical Equipment
Mafatlal Inds.,500264,,Textiles & Apparels,Other Textile Products
Tirupati Foam,540904,,Consumer Durables,"Furniture, Home Furnishing"
Orient Ceratech,504879,ORIENTCER,Industrial Products,Electrodes & Refractories
Neo Infracon,514332,,Realty,"Residential, Commercial Projects"
Kronox Lab,544187,KRONOX,Chemicals & Petrochemicals,Specialty Chemicals
High Energy Bat.,504176,,Household Products,Household Products
Gillanders Arbut,532716,GILLANDERS,Agricultural Food & other Products,Tea & Coffee
Kirl. Brothers,500241,KIRLOSBROS,Industrial Products,"Compressors, Pumps & Diesel Engines"
Singer India,505729,SINGERIND,Consumer Durables,Household Appliances
Metroglobal,500159,,Commercial Services & Supplies,Trading & Distributors
Interiors & More,,INM,Consumer Durables,"Furniture, Home Furnishing"
Century Extrus.,500083,CENTEXT,Industrial Products,"Aluminium, Copper & Zinc Products"
Chaman Metallics,,CMNL,Ferrous Metals,Sponge Iron
Intellect Design,538835,INTELLECT,IT - Software,Computers - Software & Consulting
Pelatro,,PELATRO,Media,Web based media and service
Pix Transmission,500333,PIXTRANS,Industrial Products,Rubber
Modi Rubber,500890,MODIRUBBER,Auto Components,Tyres & Rubber Products
Pennar Industrie,513228,PENIND,Industrial Manufacturing,Industrial Products
Zen Technologies,533339,ZENTEC,Aerospace & Defense,Aerospace & Defense
Namo eWaste,,NAMOEWASTE,Other Utilities,Waste Management
Apcotex Industri,523694,APCOTEXIND,Industrial Products,Rubber
Kkalpana Plastic,523652,,Industrial Products,Plastic Products - Industrial
Suven Life Scie.,530239,SUVEN,Healthcare Services,"Healthcare Research, Analytics & Technology"
Kaveri Seed Co.,532899,KSCL,Agricultural Food & other Products,Other Agricultural Products
D.P. Abhushan,544161,DPABHUSHAN,Consumer Durables,"Gems, Jewellery And Watches"
Edelweiss.Fin.,532922,EDELWEISS,Finance,Holding Company
Triveni Turbine,533655,TRITURBINE,Electrical Equipment,Heavy Electrical Equipment
Apollo Techno,544671,,Industrial Manufacturing,Industrial Products
Sri Lotus,544469,LOTUSDEV,Realty,"Residential, Commercial Projects"
Shree Rama News.,500356,RAMANEWS,"Paper, Forest & Jute Products",Paper & Paper Products
Indian Link Ch.,504746,,Industrial Products,Other Industrial Products
M E T S,538401,,Industrial Manufacturing,Industrial Products
MRP Agro,543262,,Retailing,Distributors
Transcorp Intl.,532410,,Finance,Other Financial Services
Cochin Minerals,513353,,Chemicals & Petrochemicals,Specialty Chemicals
Dixon Technolog.,540699,DIXON,Consumer Durables,Consumer Electronics
Inox Green,543667,INOXGREEN,Power,Power Generation
Unjha Formul.,531762,,Pharmaceuticals & Biotechnology,Pharmaceuticals
Harri. Malayalam,500467,HARRMALAYA,Industrial Products,Rubber
LGT Business,544489,,Leisure Services,"Tour, Travel Related Services"
Euro Leder Fash,526468,,Consumer Durables,"Gems, Jewellery And Watches"
Marine Electric.,,MARINE,Industrial Manufacturing,Industrial Products
Service Care Ltd,,SERVICE,Commercial Services & Supplies,Diversified Commercial Services
KPI Green Energy,542323,KPIGREEN,Power,Power Generation
Karnika Industri,,KARNIKA,Textiles & Apparels,Garments & Apparels
Sodhani Academy,544257,,Other Consumer Services,E-Learning
Arvind SmartSp.,539301,ARVSMART,Realty,"Residential, Commercial Projects"
JK Paper,532162,JKPAPER,"Paper, Forest & Jute Products",Paper & Paper Products
Escorp Asset Mgt,540455,,Finance,Other Financial Services
AVI Products,523896,,Commercial Services & Supplies,Trading & Distributors
Simran Farms,519566,,Food Products,Meat Products including Poultry
Ruchira Papers,532785,RUCHIRA,"Paper, Forest & Jute Products",Paper & Paper Products
Firstsour.Solu.,532809,FSL,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
Winsome Textile,514470,,Textiles & Apparels,Other Textile Products
Shanti Spintex,544059,,Textiles & Apparels,Other Textile Products
National Fitting,531289,,Industrial Products,Iron & Steel Products
Filatex India,526227,FILATEX,Textiles & Apparels,Other Textile Products
Purshottam Inves,538647,,Finance,Non Banking Financial Company (NBFC)
Lloyds Enterpris,512463,LLOYDSENT,Metals & Minerals Trading,Trading - Metals
KM Sugar Mills,532673,KMSUGAR,Agricultural Food & other Products,Sugar
AVI Polymers,539288,,Chemicals & Petrochemicals,Specialty Chemicals
IIRM Holdings,526530,,Commercial Services & Supplies,Consulting Services
Aspira Pathlab,540788,,Healthcare Services,Healthcare Service Provider
Goldiam Intl.,526729,GOLDIAM,Consumer Durables,"Gems, Jewellery And Watches"
Indbank Merchant,511473,INDBANK,Capital Markets,Stockbroking & Allied
Desco Infra.,544387,,Construction,Civil Construction
Grauer & Weil,505710,GRAUWEIL,Chemicals & Petrochemicals,Commodity Chemicals
Windsor Machines,522029,WINDMACHIN,Industrial Manufacturing,Industrial Products
Cartrade Tech,543333,CARTRADE,Retailing,E-Retail/ E-Commerce
Easun Capital Ma,542906,,Finance,Non Banking Financial Company (NBFC)
Jyoti CNC Auto.,544081,JYOTICNC,Industrial Manufacturing,Industrial Products
BLS Internat.,540073,BLS,Leisure Services,"Tour, Travel Related Services"
Lynx Machinery,505320,,Industrial Manufacturing,Industrial Products
Kalyani Invest.,533302,KICL,Finance,Investment Company
One 97,543396,PAYTM,Financial Technology (Fintech),Financial Technology (Fintech)
Solex Energy,,SOLEX,Electrical Equipment,Heavy Electrical Equipment
Kings Infra,530215,,Food Products,Seafood
Heidelberg Cem.,500292,HEIDELBERG,Cement & Cement Products,Cement & Cement Products
Varvee Global,514274,VGL,Textiles & Apparels,Other Textile Products
Glittek Granites,513528,,Other Construction Materials,Other Construction Materials
Surya Roshni,500336,SURYAROSNI,Industrial Products,Iron & Steel Products
P.E. Analytics,,PROPEQUITY,Realty,Real Estate related services
Tainwala Chem.,507785,TAINWALCHM,Industrial Products,Plastic Products - Industrial
Rita Finance and,543256,,Finance,Non Banking Financial Company (NBFC)
Indian Hume Pipe,504741,INDIANHUME,Industrial Manufacturing,Industrial Products
WPIL,505872,,Industrial Manufacturing,Industrial Products
Shoora Designs,543970,,Consumer Durables,"Gems, Jewellery And Watches"
Uday Jewellery,539518,,Consumer Durables,"Gems, Jewellery And Watches"
Greenhitech Ven.,544163,,Petroleum Products,Lubricants
NTC Industries,526723,,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products
GeeCee Vent.,532764,GEECEE,Realty,"Residential, Commercial Projects"
Richa Info,,RICHA,IT - Hardware,Computers Hardware & Equipments
Trans Freight,513063,,Industrial Products,Iron & Steel Products
Marc Loire,544437,,Consumer Durables,Footwear
